term,locationID
ACI,http://vocab.getty.edu/tgn/7000434
Australian Capital Territory,http://vocab.getty.edu/tgn/1001989
ACT,http://vocab.getty.edu/tgn/1001989
AR,http://vocab.getty.edu/tgn/7785992
CaI,http://vocab.getty.edu/tgn/7024203
ChI,http://vocab.getty.edu/tgn/7004615
CoI,http://vocab.getty.edu/tgn/7000429
CSI,http://vocab.getty.edu/tgn/1001991
HI,http://vocab.getty.edu/tgn/1007365
JB,http://vocab.getty.edu/tgn/1097194
Lord Howe Island,http://vocab.getty.edu/tgn/7001990
Lord Howe I.,http://vocab.getty.edu/tgn/7001990
LHI,http://vocab.getty.edu/tgn/7001990
MDI,http://vocab.getty.edu/tgn/4000115
Macquarie Island,http://vocab.getty.edu/tgn/1007961
Macquarie Is.,http://vocab.getty.edu/tgn/1007961
MI,http://vocab.getty.edu/tgn/1007961
New South Wales,http://vocab.getty.edu/tgn/7001828
NSW,http://vocab.getty.edu/tgn/7001828
Norfolk Island,http://vocab.getty.edu/tgn/7000430
Norfolk I.,http://vocab.getty.edu/tgn/7000430
NI,http://vocab.getty.edu/tgn/7000430
Northern Territory,http://vocab.getty.edu/tgn/7001829
NT,http://vocab.getty.edu/tgn/7001829
Queensland,http://vocab.getty.edu/tgn/7001830
Qld,http://vocab.getty.edu/tgn/7001830
South Australia,http://vocab.getty.edu/tgn/7001831
SA,http://vocab.getty.edu/tgn/7001831
Tasmania,http://vocab.getty.edu/tgn/7001992
Tas,http://vocab.getty.edu/tgn/7001992
Victoria,http://vocab.getty.edu/tgn/7006238
Vic,http://vocab.getty.edu/tgn/7006238
Western Australia,http://vocab.getty.edu/tgn/7001834
WA,http://vocab.getty.edu/tgn/7001834
Africa,http://vocab.getty.edu/tgn/7001242
Northern Africa,http://vocab.getty.edu/tgn/7001242
South Tropical Africa,http://vocab.getty.edu/tgn/7001242
Southern Africa,http://vocab.getty.edu/tgn/7001242
Antarctica,http://vocab.getty.edu/tgn/1000007
Australia,http://vocab.getty.edu/tgn/7000490
Europe,http://vocab.getty.edu/tgn/1000003
Southwestern Europe,http://vocab.getty.edu/tgn/1000003
Southeastern Europe,http://vocab.getty.edu/tgn/1000003
Asia,http://vocab.getty.edu/tgn/1000004
Asia-Temperate,http://vocab.getty.edu/tgn/1000004
Eastern Asia,http://vocab.getty.edu/tgn/1000004
Asia-Tropical,http://vocab.getty.edu/tgn/1000004
Indian Subcontinent,http://vocab.getty.edu/tgn/1000004
North and Central America,http://vocab.getty.edu/tgn/1000001
Northern America,http://vocab.getty.edu/tgn/1000001
Central America,http://vocab.getty.edu/tgn/1000001
Oceania,http://vocab.getty.edu/tgn/1000004
Australasia,http://vocab.getty.edu/tgn/1000004
South America,http://vocab.getty.edu/tgn/1000002
Southern America,http://vocab.getty.edu/tgn/1000002
Southern South America,http://vocab.getty.edu/tgn/1000002
Indian Ocean,http://vocab.getty.edu/tgn/7016682
Arctic Ocean,http://vocab.getty.edu/tgn/1112230
Atlantic Ocean,http://vocab.getty.edu/tgn/7014206
Southern Ocean,http://vocab.getty.edu/tgn/7014206
Pacific Ocean,http://vocab.getty.edu/tgn/7014652
Pacific,http://vocab.getty.edu/tgn/7014652
Southwestern Pacific,http://vocab.getty.edu/tgn/7014652
Brazil,http://vocab.getty.edu/tgn/1000047
Cook Islands,http://vocab.getty.edu/tgn/8711665
Cook Is.,http://vocab.getty.edu/tgn/8711665
Chile,http://vocab.getty.edu/tgn/1000049
Chile Central,http://vocab.getty.edu/tgn/1000049
Chile South,http://vocab.getty.edu/tgn/1000049
China,http://vocab.getty.edu/tgn/1000111
Spain,http://vocab.getty.edu/tgn/1000095
Fiji,http://vocab.getty.edu/tgn/7000493
Japan,http://vocab.getty.edu/tgn/1000120
New Caledonia,http://vocab.getty.edu/tgn/1000223
Nepal,http://vocab.getty.edu/tgn/1000132
Chatham Islands,http://vocab.getty.edu/tgn/1009931
"Chatham Islands, New Zealand",http://vocab.getty.edu/tgn/1009931
New Zealand,http://vocab.getty.edu/tgn/1000226
"North Island, New Zealand",http://vocab.getty.edu/tgn/1000226
"South Island, New Zealand",http://vocab.getty.edu/tgn/1000226
"Subantarctic Islands, New Zealand",http://vocab.getty.edu/tgn/1000226
Kermadec Islands,http://vocab.getty.edu/tgn/7006214
"Kermadec Islands, New Zealand",http://vocab.getty.edu/tgn/7006214
Snares Islands,http://vocab.getty.edu/tgn/1010303
"Snares Islands, New Zealand",http://vocab.getty.edu/tgn/1010303
"Snares, New Zealand",http://vocab.getty.edu/tgn/1010303
Three Kings Islands,http://vocab.getty.edu/tgn/1010345
"Three Kings Islands, New Zealand",http://vocab.getty.edu/tgn/1010345
"Three Kings, New Zealand",http://vocab.getty.edu/tgn/1010345
Papua New Guinea,http://vocab.getty.edu/tgn/7006160
Taiwan,http://vocab.getty.edu/tgn/1000141
Paraguay,http://vocab.getty.edu/tgn/1000055
Argentina,http://vocab.getty.edu/tgn/7006477
Argentina South,http://vocab.getty.edu/tgn/7006477
Nagaland,http://vocab.getty.edu/tgn/1001905
India,http://vocab.getty.edu/tgn/7000198
Borneo,http://vocab.getty.edu/tgn/7015963
Canary Islands,http://vocab.getty.edu/tgn/7342866
Canary Is.,http://vocab.getty.edu/tgn/7342866
Cape Province,http://vocab.getty.edu/tgn/7016540
New Guinea,http://vocab.getty.edu/tgn/1008324
Samoa,http://vocab.getty.edu/tgn/1000239
Italy,http://vocab.getty.edu/tgn/1000080
Venezuela,http://vocab.getty.edu/tgn/1000059
